dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,Validation,Surrogate,GaussianNB,Other,0.6659,0.896,1.0996,0.9267,0.9315,0.9006,0.9999,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,GaussianNB,White,4.7907,0.7229,1.4411,1.1835,0.8162,0.5605,0.9999,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.8168,0.9615,0.9459,1.0044,0.9899,0.9843,0.9997,"[3204, 404, 559, 595]",0.7978,0.5527,0.5156,0.5956,0.4248,0.5156,0.888
Adult Income,race,NA,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,0.9553,0.9906,0.9096,1.0017,0.9976,0.9061,0.9993,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,DecisionTreeClassifier,Black,0.4912,0.8878,0.897,0.948,0.9475,0.8977,0.9999,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,DecisionTreeClassifier,Other,0.9881,0.9975,1.4865,0.9723,0.976,0.5135,0.9997,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,DecisionTreeClassifier,White,1.6173,0.9153,1.0691,1.0383,0.9614,0.9309,0.9995,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.3048,0.8618,0.7702,0.9336,0.9347,0.7958,0.9997,"[3287, 321, 535, 619]",0.8202,0.5912,0.5364,0.6585,0.4817,0.5364,0.911
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.9141,0.983,0.9129,0.988,0.9868,0.9105,0.9994,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Black,0.3914,0.8725,0.8567,0.9417,0.9424,0.8568,0.9998,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,Other,0.6165,0.9241,0.8629,0.9955,0.9992,0.863,0.9997,,,,,,,,
Adult Income,race,NA,Validation,Surrogate,RandomForestClassifier,White,2.053,0.8907,1.1358,1.05,0.9497,0.8664,0.9995,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.5217,0.9074,0.7486,0.9938,0.9972,0.7741,0.9999,"[3334, 274, 510, 644]",0.8354,0.6216,0.5581,0.7015,0.5237,0.5581,0.9241
Adult Income,race,NA,Validation,Test,XGBClassifier,Asian-Pac-Islander,1.113,0.9783,0.9399,1.0295,0.9703,0.9399,0.9997,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,Black,0.3903,0.8752,0.8159,0.9564,0.957,0.8149,0.9997,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,Other,0.5044,0.9041,0.8414,0.9802,0.9827,0.8413,0.9999,,,,,,,,
Adult Income,race,NA,Validation,Test,XGBClassifier,White,1.8528,0.905,1.1501,1.0267,0.9734,0.8529,0.9994,,,,,,,,
Adult Income,race,NA,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.1242,0.8498,0.5406,0.945,0.9462,0.5409,1.0,"[3326, 282, 627, 528]",0.8092,0.5374,0.4571,0.6519,0.4324,0.4571,0.9218
Adult Income,race,NA,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,0.7735,0.9612,0.8932,0.9664,0.9685,0.8984,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,LogisticRegression,Black,0.2405,0.8607,0.6885,0.9431,0.9432,0.6885,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,LogisticRegression,Other,0.5721,0.927,0.9427,0.9779,0.9805,0.9426,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,LogisticRegression,White,2.9237,0.8765,1.2427,1.0537,0.9461,0.7591,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,Amer-Indian-Eskimo,0.2618,0.8799,0.7191,0.9636,0.9647,0.7191,1.0,"[3392, 216, 601, 554]",0.8285,0.5756,0.4797,0.7195,0.4887,0.4797,0.9401
Adult Income,race,NA,Test,Surrogate,SVC,Asian-Pac-Islander,1.4326,0.931,1.0843,1.046,0.9537,0.9126,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,Black,0.3158,0.8817,0.7186,0.9691,0.9695,0.7211,0.9999,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,Other,0.6021,0.9355,0.9199,0.9965,0.9989,0.92,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,SVC,White,1.8483,0.9206,1.1378,1.0153,0.9844,0.86,0.9999,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.0,0.6864,0.3032,0.8096,0.8097,0.3035,1.0,"[2929, 679, 354, 801]",0.7831,0.608,0.6935,0.5412,0.468,0.6935,0.8118
Adult Income,race,NA,Test,Surrogate,GaussianNB,Asian-Pac-Islander,0.1767,0.7377,0.4462,0.825,0.8257,0.4414,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,Black,0.2029,0.732,0.5738,0.8302,0.8308,0.5714,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,Other,0.9813,0.9942,1.107,1.0516,0.9524,0.893,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,GaussianNB,White,4.6867,0.7246,1.4882,1.1728,0.8275,0.5095,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.9313,0.9851,1.0764,1.0365,0.9683,0.9235,0.9999,"[3180, 428, 550, 605]",0.7947,0.553,0.5238,0.5857,0.4214,0.5238,0.8814
Adult Income,race,NA,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.1981,0.9573,0.8866,1.0838,0.9162,0.8825,0.9997,,,,,,,,
Adult Income,race,NA,Test,Surrogate,DecisionTreeClassifier,Black,0.532,0.8938,0.8058,0.9688,0.9684,0.8061,0.9996,,,,,,,,
Adult Income,race,NA,Test,Surrogate,DecisionTreeClassifier,Other,0.9553,0.9903,0.6747,1.0935,0.9119,0.6748,0.9999,,,,,,,,
Adult Income,race,NA,Test,Surrogate,DecisionTreeClassifier,White,1.4159,0.9335,1.1663,0.9968,0.9968,0.8324,0.9994,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.505,0.8957,0.8391,0.9735,0.9772,0.8391,0.9999,"[3256, 352, 508, 647]",0.8194,0.6007,0.5602,0.6476,0.487,0.5602,0.9024
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.9619,0.992,0.9505,0.9885,0.9878,0.951,0.9999,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Black,0.4058,0.8679,0.8033,0.9468,0.9469,0.8054,0.9997,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,Other,0.754,0.9483,1.0399,0.9868,0.9906,0.96,1.0,,,,,,,,
Adult Income,race,NA,Test,Surrogate,RandomForestClassifier,White,1.8947,0.8938,1.1317,1.0444,0.9561,0.8657,0.9995,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.6769,0.934,0.8006,1.0182,0.9771,0.8009,0.9998,"[3329, 279, 464, 691]",0.844,0.6504,0.5983,0.7124,0.5544,0.5983,0.9227
Adult Income,race,NA,Test,Test,XGBClassifier,Asian-Pac-Islander,1.0591,0.988,0.9108,1.028,0.9717,0.9115,0.9994,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,Black,0.353,0.8596,0.7808,0.9495,0.9498,0.7842,0.9997,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,Other,0.5972,0.9177,1.2027,0.9504,0.9516,0.7974,1.0,,,,,,,,
Adult Income,race,NA,Test,Test,XGBClassifier,White,1.9346,0.8943,1.1534,1.0321,0.9678,0.8447,0.9994,,,,,,,,
Adult Income,sex,NA,Validation,Surrogate,LogisticRegression,Female,0.1217,0.7944,0.5883,0.9069,0.9069,0.5869,1.0,"[3327, 281, 643, 511]",0.806,0.5252,0.4428,0.6452,0.4199,0.4428,0.9221
Adult Income,sex,NA,Validation,Surrogate,LogisticRegression,Male,8.214,0.7944,1.4117,1.0931,0.9069,0.5869,1.0,,,,,,,,
Adult Income,sex,NA,Validation,Surrogate,SVC,Female,0.2188,0.8343,0.8243,0.9243,0.9243,0.8253,1.0,"[3394, 214, 618, 536]",0.8253,0.563,0.4645,0.7147,0.4766,0.4645,0.9407
Adult Income,sex,NA,Validation,Surrogate,SVC,Male,4.5711,0.8343,1.1757,1.0757,0.9243,0.8253,1.0,,,,,,,,
Adult Income,sex,NA,Validation,Surrogate,GaussianNB,Female,0.0026,0.5387,0.1809,0.6987,0.6987,0.1812,0.9999,"[2939, 669, 345, 809]",0.7871,0.6147,0.701,0.5474,0.4776,0.701,0.8146
Adult Income,sex,NA,Validation,Surrogate,GaussianNB,Male,385.4167,0.5387,1.8191,1.3013,0.6987,0.1812,0.9999,,,,,,,,
Adult Income,sex,NA,Validation,Surrogate,DecisionTreeClassifier,Female,0.4141,0.8493,0.9673,0.9181,0.9181,0.9681,0.9996,"[3215, 393, 559, 595]",0.8001,0.5556,0.5156,0.6022,0.4297,0.5156,0.8911
Adult Income,sex,NA,Validation,Surrogate,DecisionTreeClassifier,Male,2.415,0.8493,1.0327,1.0819,0.9181,0.9681,0.9996,,,,,,,,
Adult Income,sex,NA,Validation,Surrogate,RandomForestClassifier,Female,0.2947,0.8186,0.8944,0.904,0.9042,0.8932,0.9998,"[3290, 318, 532, 622]",0.8215,0.5941,0.539,0.6617,0.4854,0.539,0.9119
Adult Income,sex,NA,Validation,Surrogate,RandomForestClassifier,Male,3.3931,0.8186,1.1056,1.096,0.9042,0.8932,0.9998,,,,,,,,
Adult Income,sex,NA,Validation,Test,XGBClassifier,Female,0.3028,0.8255,0.8978,0.9194,0.9194,0.8978,0.9997,"[3334, 274, 510, 644]",0.8354,0.6216,0.5581,0.7015,0.5237,0.5581,0.9241
Adult Income,sex,NA,Validation,Test,XGBClassifier,Male,3.3021,0.8255,1.1022,1.0806,0.9194,0.8978,0.9997,,,,,,,,
Adult Income,sex,NA,Test,Surrogate,LogisticRegression,Female,0.089,0.7788,0.5724,0.8938,0.8937,0.5711,1.0,"[3326, 282, 627, 528]",0.8092,0.5374,0.4571,0.6519,0.4324,0.4571,0.9218
Adult Income,sex,NA,Test,Surrogate,LogisticRegression,Male,11.2407,0.7788,1.4276,1.1062,0.8937,0.5711,1.0,,,,,,,,
Adult Income,sex,NA,Test,Surrogate,SVC,Female,0.2462,0.838,0.8313,0.9315,0.9316,0.8302,1.0,"[3392, 216, 601, 554]",0.8285,0.5756,0.4797,0.7195,0.4887,0.4797,0.9401
Adult Income,sex,NA,Test,Surrogate,SVC,Male,4.0624,0.838,1.1687,1.0685,0.9316,0.8302,1.0,,,,,,,,
Adult Income,sex,NA,Test,Surrogate,GaussianNB,Female,0.0013,0.5379,0.1908,0.6932,0.6933,0.1911,1.0,"[2929, 679, 354, 801]",0.7831,0.608,0.6935,0.5412,0.468,0.6935,0.8118
Adult Income,sex,NA,Test,Surrogate,GaussianNB,Male,771.1667,0.5379,1.8092,1.3068,0.6933,0.1911,1.0,,,,,,,,
Adult Income,sex,NA,Test,Surrogate,DecisionTreeClassifier,Female,0.3551,0.8238,0.8182,0.9132,0.9131,0.819,0.9997,"[3188, 420, 550, 605]",0.7963,0.555,0.5238,0.5902,0.4249,0.5238,0.8836
Adult Income,sex,NA,Test,Surrogate,DecisionTreeClassifier,Male,2.8165,0.8238,1.1818,1.0868,0.9131,0.819,0.9997,,,,,,,,
Adult Income,sex,NA,Test,Surrogate,RandomForestClassifier,Female,0.3035,0.8109,0.8484,0.9038,0.904,0.8493,0.9999,"[3253, 355, 513, 642]",0.8178,0.5967,0.5558,0.6439,0.4819,0.5558,0.9016
Adult Income,sex,NA,Test,Surrogate,RandomForestClassifier,Male,3.2949,0.8109,1.1516,1.0962,0.904,0.8493,0.9999,,,,,,,,
Adult Income,sex,NA,Test,Test,XGBClassifier,Female,0.2907,0.8116,0.8147,0.9265,0.9266,0.813,0.9998,"[3329, 279, 464, 691]",0.844,0.6504,0.5983,0.7124,0.5544,0.5983,0.9227
Adult Income,sex,NA,Test,Test,XGBClassifier,Male,3.4404,0.8116,1.1853,1.0735,0.9266,0.813,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.8968,0.9907,0.89,1.0356,0.961,0.9028,1.0,"[3483, 125, 850, 304]",0.7953,0.3841,0.2634,0.7086,0.3424,0.2634,0.9654
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,1.7943,0.9301,1.1095,1.0439,0.9572,0.8844,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Black,0.5355,0.9562,1.0066,0.9838,0.9837,0.9903,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Other,0.2693,0.9338,0.7356,0.9936,0.9947,0.7354,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,White,1.2443,0.9818,0.9688,1.0,0.9999,0.968,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,Amer-Indian-Eskimo,9.619,0.9638,0.9859,1.0454,0.9523,0.9861,0.9991,"[3602, 6, 1138, 16]",0.7598,0.0272,0.0139,0.7273,0.0771,0.0139,0.9983
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,Asian-Pac-Islander,345.5,0.8622,1.4048,1.0359,0.9625,0.6,0.9994,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,Black,0.0,0.9949,0.9853,0.9981,0.9981,0.9854,0.9995,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,Other,0.0,0.9954,0.9859,0.9983,0.9983,0.9861,0.9995,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,White,0.0,0.968,0.8475,0.9893,0.9896,0.8491,0.9997,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,580.75,0.7681,1.1521,1.2442,0.7561,0.835,0.9997,"[3598, 10, 1151, 3]",0.7562,0.0051,0.0026,0.2308,-0.0014,0.0026,0.9972
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,5.5,0.9892,1.0467,0.9971,0.9971,0.9509,0.9996,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,GaussianNB,Black,0.0,0.997,0.9974,0.9969,0.9969,0.9973,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,GaussianNB,Other,0.0,0.9973,0.9975,0.9972,0.9972,0.9974,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,GaussianNB,White,0.0,0.9812,0.9731,0.9827,0.9827,0.9717,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.4365,0.8696,0.7851,0.9322,0.9355,0.8107,1.0,"[3114, 494, 552, 602]",0.7803,0.5351,0.5217,0.5493,0.3917,0.5217,0.8631
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.0157,0.9964,0.9776,0.9948,0.9963,0.9776,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,DecisionTreeClassifier,Black,0.4639,0.87,0.854,0.9309,0.9309,0.8531,0.9997,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,DecisionTreeClassifier,Other,1.0065,0.9985,1.0787,1.0465,0.96,0.9213,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,DecisionTreeClassifier,White,1.6885,0.9003,1.0957,1.0541,0.9462,0.9035,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.5424,0.9148,0.8079,0.9846,0.988,0.8333,0.9996,"[3301, 307, 578, 576]",0.8142,0.5655,0.4991,0.6523,0.4565,0.4991,0.9149
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.0486,0.991,0.976,1.0013,0.9994,0.975,0.9995,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Black,0.4967,0.902,0.8409,0.9744,0.9749,0.8387,0.9996,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,Other,0.5244,0.9115,0.6998,0.9995,0.9969,0.6996,0.9997,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,RandomForestClassifier,White,1.6605,0.9218,1.1245,1.019,0.9811,0.8763,0.9997,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.2268,0.9274,0.72,0.9899,0.9911,0.72,0.9999,"[3486, 122, 833, 322]",0.7995,0.4028,0.2788,0.7252,0.3611,0.2788,0.9662
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,1.6663,0.9391,1.1658,1.0121,0.9858,0.8374,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Black,0.3592,0.9363,0.8584,0.9848,0.9846,0.8572,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,Other,0.5214,0.9552,0.9208,0.9944,0.9955,0.9209,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,LogisticRegression,White,1.6423,0.9614,1.0318,1.0098,0.9907,0.9657,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Amer-Indian-Eskimo,19.3409,0.9193,1.3851,1.0465,0.9511,0.6148,0.999,"[3602, 6, 1136, 19]",0.7602,0.0322,0.0165,0.76,0.0877,0.0165,0.9983
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Asian-Pac-Islander,182.125,0.8551,1.4373,1.0359,0.9625,0.5659,0.9989,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Black,0.0,0.9943,0.9827,0.9981,0.9981,0.9827,0.9992,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,Other,0.0,0.9948,0.9834,0.9983,0.9983,0.9835,0.9992,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,SVC,White,0.0,0.9637,0.8182,0.9893,0.9896,0.819,0.9994,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,inf,0.7979,1.6,1.1548,0.85,0.4,1.0,"[3602, 6, 1152, 3]",0.7569,0.0052,0.0026,0.3333,0.0092,0.0026,0.9983
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Asian-Pac-Islander,0.0,0.998,0.9974,0.9982,0.9983,0.9973,0.999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Black,0.0,0.9979,0.9974,0.9981,0.9981,0.9973,0.999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,Other,0.0,0.9981,0.9975,0.9983,0.9983,0.9974,0.999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,GaussianNB,White,0.0,0.9867,0.9727,0.9893,0.9896,0.9714,0.9991,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.6013,0.9083,0.8747,0.9604,0.9652,0.8748,0.9999,"[3123, 485, 549, 606]",0.7829,0.5396,0.5247,0.5555,0.398,0.5247,0.8656
Adult Income,race,DisparateImpactRemover,Test,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.2219,0.9495,1.063,1.0299,0.9717,0.9327,0.9993,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,DecisionTreeClassifier,Black,0.4471,0.8663,0.8584,0.9254,0.9251,0.8615,0.9995,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,DecisionTreeClassifier,Other,0.9041,0.978,1.0756,1.0065,0.9872,0.9243,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,DecisionTreeClassifier,White,1.6054,0.9087,1.0522,1.0508,0.9494,0.9467,0.9991,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.8517,0.9722,1.0826,1.0142,0.981,0.9174,0.9999,"[3315, 293, 557, 598]",0.8215,0.5846,0.5177,0.6712,0.4798,0.5177,0.9188
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,Asian-Pac-Islander,1.1557,0.971,0.9688,1.0334,0.9659,0.9684,0.9997,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,Black,0.5304,0.908,0.8836,0.976,0.9765,0.8875,0.9994,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,Other,0.3896,0.8853,0.6809,0.9749,0.9774,0.6809,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Surrogate,RandomForestClassifier,White,1.5232,0.9324,1.085,1.0101,0.99,0.9124,0.9993,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.3304,0.8772,0.6557,0.9644,0.9667,0.6684,0.9999,"[3313, 295, 581, 573]",0.816,0.5668,0.4965,0.6601,0.4603,0.4965,0.9182
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.9923,0.9986,0.9292,1.0047,0.9959,0.9259,0.9997,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Black,0.3515,0.874,0.917,0.9308,0.9307,0.9177,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,Other,0.5336,0.9147,0.9031,0.9744,0.9768,0.903,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Test,XGBClassifier,White,2.1125,0.8962,1.1021,1.0542,0.9459,0.9,0.9999,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.4467,0.8946,0.8685,0.9668,0.9693,0.8687,0.9998,"[3318, 290, 542, 613]",0.8253,0.5957,0.5307,0.6788,0.4924,0.5307,0.9196
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Asian-Pac-Islander,1.1037,0.9804,1.0061,1.0062,0.9945,0.992,0.9996,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Black,0.3961,0.8785,0.7183,0.9688,0.969,0.7238,0.9994,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,Other,0.5129,0.9073,0.8685,0.9757,0.9782,0.8687,0.9998,,,,,,,,
Adult Income,race,DisparateImpactRemover,Test,Test,XGBClassifier,White,1.8771,0.9051,1.164,1.0258,0.9744,0.8353,0.9994,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.4607,0.9054,0.6922,0.9865,0.9899,0.705,1.0,"[3308, 300, 623, 531]",0.8062,0.535,0.4601,0.639,0.4256,0.4601,0.9169
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,1.1554,0.973,0.9919,1.022,0.9777,0.9895,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Black,0.4038,0.8897,0.9368,0.9402,0.9405,0.9369,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,Other,0.2781,0.8733,0.7387,0.9445,0.9457,0.7387,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,LogisticRegression,White,1.8495,0.9142,1.072,1.0431,0.9566,0.9296,1.0,,,,,,,,
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.3279,0.9172,0.6483,0.9968,0.9992,0.6481,0.9998,"[3429, 179, 750, 404]",0.8049,0.4652,0.3501,0.693,0.3928,0.3501,0.9504
Adult Income,race,DisparateImpactRemover,Validation,Surrogate,SVC,Asian-Pac-Islander,1.6739,0.9192,1.1308,1.0472,0.953,0.8706,0.9997,,,,,,,,
