dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,Female_0.0_a_train_set_,Female_0.0_b_predicted_set_,Female_0.0_c_predictions_set_,Female_1.0_a_train_set_,Female_1.0_b_predicted_set_,Female_1.0_c_predictions_set_,Male_0.0_a_train_set_,Male_0.0_b_predicted_set_,Male_0.0_c_predictions_set_,Male_1.0_a_train_set_,Male_1.0_b_predicted_set_,Male_1.0_c_predictions_set_
German Credit,Attribute9,NA,NA,Validation,0,False,Target,XGBClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1900,0.4988,0.5000,0.5000
German Credit,Attribute9,NA,NA,Test,0,False,Target,XGBClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.2000,0.4988,0.5000,0.4900
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.0938,0.1100,0.1000,0.2162,0.2000,0.2100,0.2062,0.1900,0.0700,0.4838,0.5000,0.6200
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,SVC,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.0700,0.4838,0.5000,0.6200
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,GaussianNB,0.0938,0.1100,0.0900,0.2162,0.2000,0.2200,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.1300,0.2162,0.2000,0.1800,0.2062,0.1900,0.2000,0.4838,0.5000,0.4900
German Credit,Attribute9,Female,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.0800,0.4838,0.5000,0.6100
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,LogisticRegression,0.0938,0.1100,0.0500,0.2162,0.2000,0.2600,0.2062,0.1900,0.0900,0.4838,0.5000,0.6000
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,SVC,0.0938,0.1100,0.0300,0.2162,0.2000,0.2800,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,GaussianNB,0.0938,0.1100,0.0700,0.2162,0.2000,0.2400,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.1300,0.2162,0.2000,0.1800,0.2062,0.1900,0.2300,0.4838,0.5000,0.4600
German Credit,Attribute9,Female,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Validation,1,False,Target,XGBClassifier,0.0938,0.1100,0.0700,0.2162,0.2000,0.2400,0.2062,0.1900,0.1400,0.4838,0.5000,0.5500
German Credit,Attribute9,Female,Massaging,Test,1,False,Target,XGBClassifier,0.0938,0.1100,0.0500,0.2162,0.2000,0.2600,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.0938,0.1100,0.1000,0.2162,0.2000,0.2100,0.2062,0.1900,0.0700,0.4838,0.5000,0.6200
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,SVC,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.0700,0.4838,0.5000,0.6200
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,GaussianNB,0.0938,0.1100,0.0900,0.2162,0.2000,0.2200,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.1300,0.2162,0.2000,0.1800,0.2062,0.1900,0.2000,0.4838,0.5000,0.4900
German Credit,Attribute9,Female,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.0800,0.4838,0.5000,0.6100
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,LogisticRegression,0.0938,0.1100,0.0500,0.2162,0.2000,0.2600,0.2062,0.1900,0.0900,0.4838,0.5000,0.6000
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,SVC,0.0938,0.1100,0.0300,0.2162,0.2000,0.2800,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,GaussianNB,0.0938,0.1100,0.0700,0.2162,0.2000,0.2400,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.0938,0.1100,0.1300,0.2162,0.2000,0.1800,0.2062,0.1900,0.2300,0.4838,0.5000,0.4600
German Credit,Attribute9,Female,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.0938,0.1100,0.0600,0.2162,0.2000,0.2500,0.2062,0.1900,0.1100,0.4838,0.5000,0.5800
German Credit,Attribute9,Female,Massaging,Validation,2,False,Target,XGBClassifier,0.0938,0.1100,0.0700,0.2162,0.2000,0.2400,0.2062,0.1900,0.1400,0.4838,0.5000,0.5500
German Credit,Attribute9,Female,Massaging,Test,2,False,Target,XGBClassifier,0.0938,0.1100,0.0500,0.2162,0.2000,0.2600,0.2062,0.1900,0.1800,0.4838,0.5000,0.5100
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,SVC,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,GaussianNB,0.1088,0.1100,0.1300,0.2013,0.2000,0.1800,0.1912,0.1900,0.2700,0.4988,0.5000,0.4200
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,Male,Massaging,Validation,1,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.1400,0.4988,0.5000,0.5500
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1200,0.4988,0.5000,0.5700
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1400,0.4988,0.5000,0.5500
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,GaussianNB,0.1088,0.1100,0.1500,0.2013,0.2000,0.1600,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.2100,0.4988,0.5000,0.4800
German Credit,Attribute9,Male,Massaging,Test,1,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.2000,0.4988,0.5000,0.4900
German Credit,Attribute9,Male,Massaging,Validation,1,False,Target,XGBClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1900,0.4988,0.5000,0.5000
German Credit,Attribute9,Male,Massaging,Test,1,False,Target,XGBClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.2000,0.4988,0.5000,0.4900
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,0.1088,0.1100,0.1300,0.2013,0.2000,0.1800,0.1912,0.1900,0.2700,0.4988,0.5000,0.4200
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.1400,0.4988,0.5000,0.5500
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.1200,0.4988,0.5000,0.5700
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1400,0.4988,0.5000,0.5500
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,0.1088,0.1100,0.1500,0.2013,0.2000,0.1600,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1000,0.2013,0.2000,0.2100,0.1912,0.1900,0.2100,0.4988,0.5000,0.4800
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.2000,0.4988,0.5000,0.4900
German Credit,Attribute9,Male,Massaging,Validation,2,False,Target,XGBClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1900,0.4988,0.5000,0.5000
German Credit,Attribute9,Male,Massaging,Test,2,False,Target,XGBClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.2000,0.4988,0.5000,0.4900
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,0.1123,0.1100,0.0800,0.2011,0.2000,0.2300,0.1893,0.1900,0.2300,0.4973,0.5000,0.4600
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,0.1123,0.1100,0.0700,0.2011,0.2000,0.2400,0.1893,0.1900,0.1600,0.4973,0.5000,0.5300
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,0.1123,0.1100,0.1200,0.2011,0.2000,0.1900,0.1893,0.1900,0.3400,0.4973,0.5000,0.3500
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,0.1123,0.1100,0.1000,0.2011,0.2000,0.2100,0.1893,0.1900,0.2400,0.4973,0.5000,0.4500
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,0.1123,0.1100,0.0800,0.2011,0.2000,0.2300,0.1893,0.1900,0.1700,0.4973,0.5000,0.5200
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,0.1123,0.1100,0.0600,0.2011,0.2000,0.2500,0.1893,0.1900,0.1700,0.4973,0.5000,0.5200
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,0.1123,0.1100,0.0500,0.2011,0.2000,0.2600,0.1893,0.1900,0.1800,0.4973,0.5000,0.5100
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,0.1123,0.1100,0.1500,0.2011,0.2000,0.1600,0.1893,0.1900,0.3200,0.4973,0.5000,0.3700
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,0.1123,0.1100,0.1300,0.2011,0.2000,0.1800,0.1893,0.1900,0.2900,0.4973,0.5000,0.4000
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,0.1123,0.1100,0.0800,0.2011,0.2000,0.2300,0.1893,0.1900,0.2000,0.4973,0.5000,0.4900
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Target,XGBClassifier,0.1123,0.1100,0.1000,0.2011,0.2000,0.2100,0.1893,0.1900,0.2300,0.4973,0.5000,0.4600
German Credit,Attribute9,Female,Reweighing,Test,1,False,Target,XGBClassifier,0.1123,0.1100,0.0600,0.2011,0.2000,0.2500,0.1893,0.1900,0.2400,0.4973,0.5000,0.4500
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,0.1102,0.1100,0.0800,0.1992,0.2000,0.2300,0.1985,0.1900,0.2100,0.4921,0.5000,0.4800
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,0.1102,0.1100,0.0900,0.1992,0.2000,0.2200,0.1985,0.1900,0.1800,0.4921,0.5000,0.5100
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,GaussianNB,0.1102,0.1100,0.1300,0.1992,0.2000,0.1800,0.1985,0.1900,0.3400,0.4921,0.5000,0.3500
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,0.1102,0.1100,0.1300,0.1992,0.2000,0.1800,0.1985,0.1900,0.2300,0.4921,0.5000,0.4600
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,0.1102,0.1100,0.0700,0.1992,0.2000,0.2400,0.1985,0.1900,0.1600,0.4921,0.5000,0.5300
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,LogisticRegression,0.1102,0.1100,0.0700,0.1992,0.2000,0.2400,0.1985,0.1900,0.1800,0.4921,0.5000,0.5100
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,SVC,0.1102,0.1100,0.0500,0.1992,0.2000,0.2600,0.1985,0.1900,0.1600,0.4921,0.5000,0.5300
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,GaussianNB,0.1102,0.1100,0.1300,0.1992,0.2000,0.1800,0.1985,0.1900,0.3300,0.4921,0.5000,0.3600
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,DecisionTreeClassifier,0.1102,0.1100,0.0900,0.1992,0.2000,0.2200,0.1985,0.1900,0.1700,0.4921,0.5000,0.5200
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,RandomForestClassifier,0.1102,0.1100,0.0800,0.1992,0.2000,0.2300,0.1985,0.1900,0.2100,0.4921,0.5000,0.4800
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Target,XGBClassifier,0.1102,0.1100,0.0900,0.1992,0.2000,0.2200,0.1985,0.1900,0.1800,0.4921,0.5000,0.5100
German Credit,Attribute9,Female,Reweighing,Test,2,False,Target,XGBClassifier,0.1102,0.1100,0.0700,0.1992,0.2000,0.2400,0.1985,0.1900,0.2100,0.4921,0.5000,0.4800
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,LogisticRegression,0.1033,0.1100,0.1100,0.2183,0.2000,0.2000,0.1957,0.1900,0.1600,0.4828,0.5000,0.5300
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,SVC,0.1033,0.1100,0.0900,0.2183,0.2000,0.2200,0.1957,0.1900,0.1700,0.4828,0.5000,0.5200
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,GaussianNB,0.1033,0.1100,0.1200,0.2183,0.2000,0.1900,0.1957,0.1900,0.2700,0.4828,0.5000,0.4200
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,0.1033,0.1100,0.1300,0.2183,0.2000,0.1800,0.1957,0.1900,0.2400,0.4828,0.5000,0.4500
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,0.1033,0.1100,0.0900,0.2183,0.2000,0.2200,0.1957,0.1900,0.1500,0.4828,0.5000,0.5400
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,LogisticRegression,0.1033,0.1100,0.1000,0.2183,0.2000,0.2100,0.1957,0.1900,0.1400,0.4828,0.5000,0.5500
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,SVC,0.1033,0.1100,0.0700,0.2183,0.2000,0.2400,0.1957,0.1900,0.1400,0.4828,0.5000,0.5500
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,GaussianNB,0.1033,0.1100,0.1300,0.2183,0.2000,0.1800,0.1957,0.1900,0.2500,0.4828,0.5000,0.4400
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,0.1033,0.1100,0.0800,0.2183,0.2000,0.2300,0.1957,0.1900,0.1900,0.4828,0.5000,0.5000
German Credit,Attribute9,Male,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,0.1033,0.1100,0.0700,0.2183,0.2000,0.2400,0.1957,0.1900,0.1900,0.4828,0.5000,0.5000
German Credit,Attribute9,Male,Reweighing,Validation,1,False,Target,XGBClassifier,0.1033,0.1100,0.1100,0.2183,0.2000,0.2000,0.1957,0.1900,0.1600,0.4828,0.5000,0.5300
German Credit,Attribute9,Male,Reweighing,Test,1,False,Target,XGBClassifier,0.1033,0.1100,0.0800,0.2183,0.2000,0.2300,0.1957,0.1900,0.1800,0.4828,0.5000,0.5100
German Credit,Attribute9,Male,Reweighing,Validation,2,False,Surrogate,LogisticRegression,0.1028,0.1100,0.1100,0.2143,0.2000,0.2000,0.1983,0.1900,0.1700,0.4846,0.5000,0.5200
German Credit,Attribute9,Male,Reweighing,Validation,2,False,Surrogate,SVC,0.1028,0.1100,0.0900,0.2143,0.2000,0.2200,0.1983,0.1900,0.1800,0.4846,0.5000,0.5100
German Credit,Attribute9,Male,Reweighing,Validation,2,False,Surrogate,GaussianNB,0.1028,0.1100,0.1300,0.2143,0.2000,0.1800,0.1983,0.1900,0.2900,0.4846,0.5000,0.4000
German Credit,Attribute9,Male,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,0.1028,0.1100,0.1100,0.2143,0.2000,0.2000,0.1983,0.1900,0.2400,0.4846,0.5000,0.4500
German Credit,Attribute9,Male,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,0.1028,0.1100,0.0800,0.2143,0.2000,0.2300,0.1983,0.1900,0.1700,0.4846,0.5000,0.5200
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,LogisticRegression,0.1028,0.1100,0.1000,0.2143,0.2000,0.2100,0.1983,0.1900,0.1400,0.4846,0.5000,0.5500
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,SVC,0.1028,0.1100,0.0700,0.2143,0.2000,0.2400,0.1983,0.1900,0.2000,0.4846,0.5000,0.4900
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,GaussianNB,0.1028,0.1100,0.1300,0.2143,0.2000,0.1800,0.1983,0.1900,0.2500,0.4846,0.5000,0.4400
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,DecisionTreeClassifier,0.1028,0.1100,0.1100,0.2143,0.2000,0.2000,0.1983,0.1900,0.1700,0.4846,0.5000,0.5200
German Credit,Attribute9,Male,Reweighing,Test,2,False,Surrogate,RandomForestClassifier,0.1028,0.1100,0.0700,0.2143,0.2000,0.2400,0.1983,0.1900,0.1900,0.4846,0.5000,0.5000
German Credit,Attribute9,Male,Reweighing,Validation,2,False,Target,XGBClassifier,0.1028,0.1100,0.1100,0.2143,0.2000,0.2000,0.1983,0.1900,0.1500,0.4846,0.5000,0.5400
German Credit,Attribute9,Male,Reweighing,Test,2,False,Target,XGBClassifier,0.1028,0.1100,0.0600,0.2143,0.2000,0.2500,0.1983,0.1900,0.1700,0.4846,0.5000,0.5200
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1600,0.4988,0.5000,0.5300
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,GaussianNB,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.3200,0.4988,0.5000,0.3700
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.2700,0.4988,0.5000,0.4200
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.1700,0.4988,0.5000,0.5200
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1700,0.4988,0.5000,0.5200
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,SVC,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.1600,0.4988,0.5000,0.5300
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,GaussianNB,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.3200,0.4988,0.5000,0.3700
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.2100,0.4988,0.5000,0.4800
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,1,False,Target,XGBClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Female,DisparateImpactRemover,Test,1,False,Target,XGBClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,LogisticRegression,0.1088,0.1100,0.0900,0.2013,0.2000,0.2200,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,SVC,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1600,0.4988,0.5000,0.5300
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.3200,0.4988,0.5000,0.3700
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.2700,0.4988,0.5000,0.4200
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.1700,0.4988,0.5000,0.5200
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,LogisticRegression,0.1088,0.1100,0.0700,0.2013,0.2000,0.2400,0.1912,0.1900,0.1700,0.4988,0.5000,0.5200
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,SVC,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.1600,0.4988,0.5000,0.5300
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,GaussianNB,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.3200,0.4988,0.5000,0.3700
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,DecisionTreeClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Surrogate,RandomForestClassifier,0.1088,0.1100,0.0600,0.2013,0.2000,0.2500,0.1912,0.1900,0.2100,0.4988,0.5000,0.4800
German Credit,Attribute9,Female,DisparateImpactRemover,Validation,2,False,Target,XGBClassifier,0.1088,0.1100,0.1200,0.2013,0.2000,0.1900,0.1912,0.1900,0.2300,0.4988,0.5000,0.4600
German Credit,Attribute9,Female,DisparateImpactRemover,Test,2,False,Target,XGBClassifier,0.1088,0.1100,0.0800,0.2013,0.2000,0.2300,0.1912,0.1900,0.2200,0.4988,0.5000,0.4700
German Credit,Attribute9,Male,DisparateImpactRemover,Validation,1,False,Surrogate,LogisticRegression,0.1088,0.1100,0.1100,0.2013,0.2000,0.2000,0.1912,0.1900,0.1300,0.4988,0.5000,0.5600
